Alaves | Almeria | 2.22 | 3.18 | 3.34
Osasuna | Real Madrid | 3.35 | 3.83 | 1.98
Osasuna | Real Madrid | 3.35 | 3.84 | 1.98
Osasuna | Real Sociedad | 2.65 | 3.36 | 2.57
Osasuna | Real Sociedad | 2.65 | 3.38 | 2.57
Osasuna | Sevilla | 2.96 | 3.59 | 2.24
Osasuna | Sevilla | 2.95 | 3.59 | 2.24
Osasuna | Valencia | 3.04 | 3.64 | 2.18
Osasuna | Valencia | 3.03 | 3.64 | 2.18
Osasuna | Valladolid | 2.17 | 3.21 | 3.44
Osasuna | Valladolid | 2.17 | 3.21 | 3.45
Osasuna | Villarreal | 2.48 | 3.25 | 2.83
Real Madrid | Alaves | 1.85 | 3.49 | 4.23
Real Madrid | Alaves | 1.85 | 3.47 | 4.24
Real Madrid | Almeria | 1.79 | 3.56 | 4.45
Real Madrid | Almeria | 1.79 | 3.55 | 4.46
Real Madrid | Athletic Bilbao | 1.91 | 3.46 | 4.00
Real Madrid | Athletic Bilbao | 1.91 | 3.45 | 4.01
Real Madrid | Athletic Bilbao | 1.91 | 3.42 | 4.02
Real Madrid | Atletico Madrid | 2.50 | 3.27 | 2.79
Real Madrid | Barcelona | 2.85 | 3.51 | 2.34
Real Madrid | Barcelona | 2.84 | 3.52 | 2.34
Real Madrid | Betis | 1.85 | 3.50 | 4.22
Real Madrid | Betis | 1.85 | 3.49 | 4.22
Real Madrid | Betis | 1.85 | 3.47 | 4.24
Real Madrid | Celta Vigo | 1.69 | 3.70 | 4.98
Real Madrid | Celta Vigo | 1.68 | 3.72 | 4.97
Real Madrid | Espanyol | 1.91 | 3.43 | 4.02
Real Madrid | Getafe | 2.06 | 3.28 | 3.66
Real Madrid | Granada | 1.85 | 3.50 | 4.22
Real Madrid | Granada | 1.56 | 3.97 | 5.81
Real Madrid | Granada | 1.57 | 3.94 | 5.83
Real Madrid | Leganes | 1.75 | 3.62 | 4.61
Real Madrid | Leganes | 1.75 | 3.61 | 4.62
Real Madrid | Levante | 1.73 | 3.64 | 4.70
Real Madrid | Levante | 1.74 | 3.62 | 4.71
Real Madrid | Mallorca | 1.69 | 3.70 | 4.98
Real Madrid | Mallorca | 1.68 | 3.72 | 4.97
Real Madrid | Osasuna | 1.62 | 3.81 | 5.38
Real Madrid | Osasuna | 1.63 | 3.81 | 5.39
Real Madrid | Real Sociedad | 1.85 | 3.48 | 4.23
Real Madrid | Real Sociedad | 1.85 | 3.50 | 4.22
Real Madrid | Sevilla | 2.06 | 3.29 | 3.65
Real Madrid | Sevilla | 2.05 | 3.30 | 3.65
Real Madrid | Sevilla | 2.06 | 3.28 | 3.66
Real Madrid | Valencia | 2.11 | 3.25 | 3.55
Real Madrid | Valencia | 2.11 | 3.26 | 3.54
Real Madrid | Valladolid | 1.55 | 3.96 | 5.96
Real Madrid | Valladolid | 1.55 | 4.00 | 5.94
Real Madrid | Valladolid | 1.55 | 3.97 | 5.95
Real Madrid | Villarreal | 1.74 | 3.63 | 4.71
Real Madrid | Villarreal | 1.73 | 3.64 | 4.70
Real Madrid | Villarreal | 1.74 | 3.64 | 4.70
Real Sociedad | Alaves | 2.32 | 3.10 | 3.22
Real Sociedad | Alaves | 2.32 | 3.12 | 3.21
Real Sociedad | Almeria | 2.23 | 3.16 | 3.35
Real Sociedad | Almeria | 2.22 | 3.17 | 3.35
Real Sociedad | Athletic Bilbao | 2.38 | 3.17 | 3.04
Real Sociedad | Atletico Madrid | 3.11 | 3.73 | 2.11
Real Sociedad | Atletico Madrid | 3.12 | 3.70 | 2.11
Real Sociedad | Atletico Madrid | 3.12 | 3.69 | 2.12
Real Sociedad | Barcelona | 3.69 | 3.99 | 1.84
Real Sociedad | Barcelona | 3.68 | 4.04 | 1.84
Real Sociedad | Betis | 2.32 | 3.11 | 3.21
Real Sociedad | Betis | 2.31 | 3.14 | 3.20
Real Sociedad | Celta Vigo | 2.06 | 3.27 | 3.66
Real Sociedad | Celta Vigo | 2.06 | 3.29 | 3.65
Real Sociedad | Espanyol | 2.38 | 3.18 | 3.04
Real Sociedad | Espanyol | 2.38 | 3.17 | 3.04
Real Sociedad | Getafe | 2.53 | 3.29 | 2.74
Real Sociedad | Getafe | 2.53 | 3.30 | 2.74
Real Sociedad | Getafe | 2.53 | 3.28 | 2.74
Real Sociedad | Granada | 1.87 | 3.46 | 4.16
Real Sociedad | Granada | 1.87 | 3.47 | 4.16
Real Sociedad | Leganes | 2.17 | 3.21 | 3.45
Real Sociedad | Leganes | 2.17 | 3.20 | 3.45
Real Sociedad | Leganes | 2.16 | 3.22 | 3.44
Real Sociedad | Levante | 2.13 | 3.24 | 3.49
Real Sociedad | Levante | 2.14 | 3.23 | 3.49
Real Sociedad | Mallorca | 2.06 | 3.30 | 3.65
Real Sociedad | Osasuna | 1.96 | 3.37 | 3.89
Real Sociedad | Osasuna | 1.96 | 3.36 | 3.90
Real Sociedad | Real Madrid | 2.81 | 3.49 | 2.37
Real Sociedad | Sevilla | 2.53 | 3.29 | 2.74
Real Sociedad | Sevilla | 2.53 | 3.30 | 2.74
Real Sociedad | Valencia | 2.59 | 3.32 | 2.65
Real Sociedad | Valencia | 2.59 | 3.33 | 2.65
Real Sociedad | Valladolid | 1.85 | 3.49 | 4.23
Real Sociedad | Villarreal | 2.14 | 3.22 | 3.50
Real Sociedad | Villarreal | 2.14 | 3.23 | 3.50
Real Sociedad | Villarreal | 2.13 | 3.25 | 3.48
Sevilla | Alaves | 2.06 | 3.29 | 3.65
Sevilla | Alaves | 2.06 | 3.28 | 3.66
Sevilla | Almeria | 1.98 | 3.35 | 3.83
Sevilla | Almeria | 1.98 | 3.36 | 3.83
Sevilla | Almeria | 1.97 | 3.39 | 3.81
Sevilla | Athletic Bilbao | 2.14 | 3.23 | 3.49
Sevilla | Athletic Bilbao | 2.13 | 3.24 | 3.49
Sevilla | Atletico Madrid | 2.77 | 3.48 | 2.41
Sevilla | Barcelona | 3.21 | 3.76 | 2.06
Sevilla | Barcelona | 3.21 | 3.75 | 2.06
Sevilla | Betis | 2.06 | 3.29 | 3.65
Sevilla | Betis | 2.05 | 3.30 | 3.65
Sevilla | Celta Vigo | 1.85 | 3.48 | 4.23
Sevilla | Celta Vigo | 1.85 | 3.47 | 4.23
Sevilla | Celta Vigo | 1.85 | 3.49 | 4.23
Sevilla | Espanyol | 2.14 | 3.22 | 3.50
Sevilla | Getafe | 2.36 | 3.14 | 3.10
Sevilla | Getafe | 2.32 | 3.12 | 3.21
Sevilla | Getafe | 2.32 | 3.10 | 3.22
Sevilla | Granada | 1.70 | 3.69 | 4.88
Sevilla | Granada | 1.70 | 3.71 | 4.87
Sevilla | Leganes | 1.93 | 3.42 | 3.95
Sevilla | Leganes | 1.94 | 3.39 | 3.96
Sevilla | Levante | 1.91 | 3.42 | 4.02
Sevilla | Levante | 1.91 | 3.43 | 4.01
Sevilla | Mallorca | 1.85 | 3.49 | 4.23
Sevilla | Mallorca | 1.85 | 3.49 | 4.22
Sevilla | Osasuna | 1.77 | 3.60 | 4.53
Sevilla | Osasuna | 1.77 | 3.58 | 4.54
Sevilla | Real Madrid | 2.53 | 3.29 | 2.74
Sevilla | Real Sociedad | 2.05 | 3.30 | 3.65
Sevilla | Real Sociedad | 2.06 | 3.28 | 3.66
Sevilla | Valencia | 2.36 | 3.14 | 3.10
Sevilla | Valencia | 2.36 | 3.15 | 3.10
Sevilla | Valencia | 2.36 | 3.16 | 3.09
Sevilla | Valladolid | 1.68 | 3.72 | 4.97
Sevilla | Valladolid | 1.69 | 3.69 | 4.98
Sevilla | Villarreal | 1.91 | 3.41 | 4.02
Sevilla | Villarreal | 1.91 | 3.43 | 4.02
Sevilla | Villarreal | 1.91 | 3.44 | 4.01
Valencia | Alaves | 2.01 | 3.32 | 3.77
Valencia | Alaves | 2.01 | 3.33 | 3.77
Valencia | Almeria | 1.94 | 3.40 | 3.95
Valencia | Almeria | 1.94 | 3.39 | 3.96
Valencia | Almeria | 1.93 | 3.41 | 3.95
Valencia | Athletic Bilbao | 2.08 | 3.26 | 3.60
Valencia | Athletic Bilbao | 2.08 | 3.30 | 3.59
Valencia | Atletico Madrid | 2.70 | 3.44 | 2.48
Valencia | Barcelona | 2.12 | 3.69 | 3.12
Valencia | Barcelona | 3.12 | 3.68 | 2.12
Valencia | Barcelona | 3.12 | 3.69 | 2.12
Valencia | Betis | 2.01 | 3.32 | 3.77
Valencia | Betis | 2.01 | 3.33 | 3.77
Valencia | Celta Vigo | 1.81 | 3.54 | 4.38
Valencia | Espanyol | 2.08 | 3.27 | 3.60
Valencia | Espanyol | 2.08 | 3.29 | 3.59
Valencia | Espanyol | 2.08 | 3.28 | 3.59
Valencia | Getafe | 2.26 | 3.15 | 3.30
Valencia | Getafe | 2.25 | 3.15 | 3.30
Valencia | Granada | 1.67 | 3.74 | 5.07
Valencia | Granada | 1.67 | 3.76 | 5.06
Valencia | Granada | 1.67 | 3.75 | 5.07
Valencia | Leganes | 1.89 | 3.43 | 4.09
Valencia | Levante | 1.87 | 3.47 | 4.15
Valencia | Mallorca | 1.81 | 3.53 | 4.38
Valencia | Mallorca | 1.81 | 3.52 | 4.39
Valencia | Osasuna | 1.74 | 3.63 | 4.70
Valencia | Osasuna | 1.73 | 3.65 | 4.70
Valencia | Real Madrid | 2.49 | 3.22 | 2.85
Valencia | Real Madrid | 2.47 | 3.27 | 2.83
Valencia | Real Sociedad | 2.00 | 3.36 | 3.76
Valencia | Real Sociedad | 2.00 | 3.35 | 3.76
Valencia | Real Sociedad | 2.01 | 3.33 | 3.77
Valencia | Sevilla | 2.25 | 3.16 | 3.30
Valencia | Sevilla | 2.25 | 3.15 | 3.30
Valencia | Valladolid | 1.65 | 3.79 | 5.16
Valencia | Valladolid | 1.65 | 3.80 | 5.15
Valencia | Valladolid | 1.65 | 3.77 | 5.17
Valencia | Villarreal | 1.87 | 3.47 | 4.15
Valencia | Villarreal | 1.87 | 3.48 | 4.15
Valladolid | Alaves | 2.81 | 3.49 | 2.37
Valladolid | Alaves | 2.81 | 3.50 | 2.37
Valladolid | Almeria | 2.71 | 3.42 | 2.49
Valladolid | Almeria | 2.71 | 3.41 | 2.49
Valladolid | Athletic Bilbao | 2.93 | 3.53 | 2.28
Valladolid | Atletico Madrid | 4.15 | 4.22 | 1.71
Valladolid | Atletico Madrid | 4.15 | 4.24 | 1.70
Valladolid | Barcelona | 5.09 | 4.67 | 1.53
Valladolid | Betis | 2.81 | 3.49 | 2.37
Valladolid | Betis | 2.80 | 3.51 | 2.37
Valladolid | Celta Vigo | 2.53 | 3.28 | 2.74
Valladolid | Celta Vigo | 2.53 | 3.29 | 2.74
Valladolid | Espanyol | 2.92 | 3.56 | 2.27
Valladolid | Espanyol | 2.92 | 3.55 | 2.27
Valladolid | Getafe | 3.16 | 3.72 | 2.09
Valladolid | Granada | 2.34 | 3.13 | 3.15
Valladolid | Leganes | 2.65 | 3.38 | 2.57
Valladolid | Leganes | 2.64 | 3.41 | 2.56
Valladolid | Leganes | 2.65 | 3.35 | 2.57
Valladolid | Levante | 2.62 | 3.35 | 2.61
Valladolid | Mallorca | 2.53 | 3.29 | 2.74
Valladolid | Mallorca | 2.54 | 3.26 | 2.75
Valladolid | Osasuna | 2.43 | 3.20 | 2.94
Valladolid | Osasuna | 2.43 | 3.21 | 2.93
Valladolid | Real Madrid | 3.62 | 3.98 | 1.86
Valladolid | Real Sociedad | 3.49 | 3.00 | 2.38
Valladolid | Real Sociedad | 2.80 | 3.51 | 2.37
Valladolid | Real Sociedad | 2.80 | 3.53 | 2.37
Valladolid | Sevilla | 3.16 | 3.73 | 2.09
Valladolid | Sevilla | 3.16 | 3.72 | 2.09
Valladolid | Valencia | 3.26 | 3.75 | 2.04
Valladolid | Villarreal | 2.62 | 3.34 | 2.61
Valladolid | Villarreal | 2.62 | 3.35 | 2.61
Villareal | Almeria | 2.38 | 3.17 | 3.04
Villareal | Granada | 2.00 | 3.36 | 3.76
Villarreal | Alaves | 2.45 | 3.23 | 2.88
Villarreal | Alaves | 2.45 | 3.24 | 2.88
Villarreal | Almeria | 2.38 | 3.17 | 3.04
Villarreal | Athletic Bilbao | 2.53 | 3.30 | 2.74
Villarreal | Athletic Bilbao | 2.54 | 3.27 | 2.75
Villarreal | Athletic Bilbao | 2.53 | 3.28 | 2.74
Villarreal | Atletico Madrid | 3.41 | 3.85 | 1.96
Villarreal | Atletico Madrid | 3.40 | 3.86 | 1.96
Villarreal | Atletico Madrid | 3.41 | 3.83 | 1.96
Villarreal | Barcelona | 4.07 | 4.22 | 1.72
Villarreal | Barcelona | 4.08 | 4.19 | 1.72
Villarreal | Betis | 2.45 | 3.23 | 2.88
Villarreal | Celta Vigo | 2.23 | 3.17 | 3.35
Villarreal | Espanyol | 2.53 | 3.31 | 2.73
Villarreal | Espanyol | 2.53 | 3.29 | 2.74
Villarreal | Espanyol | 2.54 | 3.27 | 2.74
Villarreal | Getafe | 2.71 | 3.43 | 2.48
Villarreal | Getafe | 2.71 | 3.42 | 2.49
Villarreal | Granada | 2.01 | 3.32 | 3.78
Villarreal | Leganes | 2.34 | 3.13 | 3.16
Villarreal | Leganes | 2.34 | 3.13 | 3.15
Villarreal | Leganes | 2.34 | 3.14 | 3.15
Villarreal | Levante | 2.32 | 3.11 | 3.22
Villarreal | Levante | 2.31 | 3.14 | 3.20
Villarreal | Levante | 2.32 | 3.11 | 3.21
Villarreal | Mallorca | 2.22 | 3.18 | 3.34
Villarreal | Mallorca | 2.22 | 3.17 | 3.35
Villarreal | Osasuna | 2.11 | 3.25 | 3.55
Villarreal | Osasuna | 2.11 | 3.25 | 3.54
Villarreal | Real Madrid | 3.03 | 3.66 | 2.17
Villarreal | Real Sociedad | 2.46 | 3.23 | 2.88
Villarreal | Real Sociedad | 2.45 | 3.26 | 2.87
Villarreal | Sevilla | 2.71 | 3.42 | 2.49
Villarreal | Sevilla | 2.71 | 3.43 | 2.48
Villarreal | Valencia | 2.77 | 3.47 | 2.41
Villarreal | Valladolid | 1.98 | 3.36 | 3.83
Villarreal | Valladolid | 1.98 | 3.35 | 3.83
