week,home_team,away_team,home_goals,away_goals,result
37,Almeria,Real Sociedad,1,4,A
37,Barcelona,Villarreal,1,1,D
37,Betis,Getafe,2,1,H
37,Celta Vigo,Atletico Madrid,2,1,H
37,Osasuna,Valladolid,2,2,D
37,Alaves,Real Madrid,1,0,H
37,Granada,Sevilla,4,1,H

36,Mallorca,Celta Vigo,2,2,D
36,Villarreal,Real Sociedad,1,2,A
36,Levante,Betis,0,0,D
36,Barcelona,Valencia,1,1,D
36,Getafe,Athletic Bilbao,1,1,D
36,Sevilla,Espanyol,2,1,H
36,Alaves,Leganes,0,3,A
36,Real Madrid,Almeria,2,1,H
36,Atletico Madrid,Osasuna,4,0,H
36,Valladolid,Granada,3,1,H

35,Sevilla,Villarreal,3,0,H
35,Valencia,Real Madrid,1,1,D
35,Betis,Barcelona,0,1,A
35,Osasuna,Mallorca,1,1,D
35,Granada,Atletico Madrid,2,2,D
35,Almeria,Leganes,0,2,A
35,Espanyol,Valladolid,2,2,D
35,Real Sociedad,Getafe,0,0,D
35,Athletic Bilbao,Levante,0,1,A
35,Celta Vigo,Alaves,0,1,A

34,Real Madrid,Betis,2,4,A
34,Villarreal,Getafe,1,2,A
34,Atletico Madrid,Espanyol,1,0,H
34,Alaves,Osasuna,0,1,A
34,Valladolid,Sevilla,0,2,A
34,Leganes,Valencia,1,2,A
34,Almeria,Celta Vigo,0,1,A
34,Levante,Real Sociedad,2,3,A
34,Barcelona,Athletic Bilbao,1,1,D
34,Mallorca,Granada,3,1,H

33,Athletic Bilbao,Real Madrid,2,1,H
33,Real Sociedad,Barcelona,0,2,A
33,Valencia,Celta Vigo,1,1,D
33,Osasuna,Almeria,0,0,D
33,Espanyol,Mallorca,1,0,H
33,Granada,Alaves,3,3,D
33,Betis,Leganes,3,0,H
33,Sevilla,Atletico Madrid,1,1,D
33,Valladolid,Villarreal,2,2,D
33,Getafe,Levante,1,1,D

32,Barcelona,Getafe,0,2,A
32,Valencia,Osasuna,0,1,A
32,Real Madrid,Real Sociedad,1,1,D
32,Villarreal,Levante,0,2,A
32,Mallorca,Sevilla,3,2,H
32,Alaves,Espanyol,2,1,H
32,Almeria,Granada,2,0,H
32,Celta Vigo,Betis,1,2,A
32,Leganes,Athletic Bilbao,4,0,H
32,Atletico Madrid,Valladolid,0,0,D

31,Espanyol,Almeria,3,1,H
31,Levante,Barcelona,1,0,H
31,Athletic Bilbao,Celta Vigo,1,0,H
31,Real Sociedad,Leganes,1,0,H
31,Granada,Valencia,0,2,A
31,Getafe,Real Madrid,1,0,H
31,Betis,Osasuna,4,2,H
31,Atletico Madrid,Villarreal,1,1,D
31,Valladolid,Mallorca,2,1,H
31,Sevilla,Alaves,3,2,H

30,Real Madrid,Levante,5,0,H
30,Osasuna,Athletic Bilbao,0,0,D
30,Celta Vigo,Real Sociedad,2,2,D
30,Mallorca,Atletico Madrid,2,0,H
30,Villarreal,Barcelona,2,2,D
30,Leganes,Getafe,2,0,H
30,Almeria,Sevilla,1,1,D
30,Valencia,Espanyol,3,2,H
30,Alaves,Valladolid,2,1,H
30,Betis,Granada,1,2,A

29,Espanyol,Betis,2,2,D
29,Barcelona,Real Madrid,2,1,H
29,Athletic Bilbao,Granada,3,0,H
29,Sevilla,Valencia,2,0,H
29,Real Sociedad,Osasuna,4,1,H
29,Valladolid,Almeria,0,1,A
29,Getafe,Celta Vigo,3,0,H
29,Mallorca,Villarreal,0,1,A
29,Atletico Madrid,Alaves,2,0,H
29,Levante,Leganes,1,0,H

28,Valencia,Valladolid,0,1,A
28,Athletic Bilbao,Espanyol,3,0,H
28,Alaves,Mallorca,2,1,H
28,Celta Vigo,Levante,0,1,A
28,Leganes,Barcelona,1,1,D
28,Granada,Real Sociedad,0,1,A
28,Villarreal,Real Madrid,2,3,A
28,Osasuna,Getafe,1,3,A
28,Almeria,Atletico Madrid,1,1,D
28,Betis,Sevilla,0,1,A

27,Levante,Osasuna,3,0,H
27,Real Madrid,Leganes,0,0,D
27,Getafe,Granada,2,0,H
27,Alaves,Villarreal,1,3,A
27,Mallorca,Almeria,3,2,H
27,Sevilla,Athletic Bilbao,1,3,A
27,Real Sociedad,Espanyol,1,0,H
27,Barcelona,Celta Vigo,1,2,A
27,Atletico Madrid,Valencia,4,0,H
27,Valladolid,Betis,0,0,D

26,Espanyol,Getafe,3,1,H
26,Real Betis,Atletico Madrid,0,0,D
26,Granada,Levante,1,4,A
26,Celta Vigo,Real Madrid,2,1,H
26,Real Sociedad,Sevilla,0,4,A
26,Athletic Bilbao,Valladolid,0,1,A
26,Almeria,Alaves,1,1,D
26,Villarreal,Leganes,0,1,A
26,Osasuna,Barcelona,2,2,D
26,Valencia,Mallorca,0,2,A

25,Atletico Madrid,Athletic Bilbao,0,1,A
25,Almeria,Villarreal,2,2,D
25,Getafe,Sevilla,1,1,D
25,Barcelona,Granada,0,0,D
25,Leganes,Celta Vigo,0,1,A
25,Mallorca,Real Betis,2,3,A
25,Real Madrid,Osasuna,1,0,H
25,Levante,Espanyol,2,2,D
25,Alaves,Valencia,1,0,H
25,Valladolid,Real Sociedad,0,2,A

24,Athletic Bilbao,Mallorca,0,1,A
24,Villarreal,Celta Vigo,3,1,H
24,Real Sociedad,Atletico Madrid,0,2,A
24,Sevilla,Levante,2,1,H
24,Osasuna,Leganes,2,2,D
24,Getafe,Valladolid,0,0,D
24,Espanyol,Barcelona,0,2,A
24,Valencia,Almeria,2,2,D
24,Granada,Real Madrid,2,2,D
24,Real Betis,Alaves,1,1,D

23,Real Madrid,Espanyol,4,2,H
23,Sevilla,Barcelona,3,2,H
23,Valencia,Villarreal,2,0,H
23,Alaves,Athletic Bilbao,2,0,H
23,Leganes,Granada,2,1,H
23,Real Sociedad,Mallorca,3,1,H
23,Valladolid,Levante,1,0,H
23,Getafe,Atletico Madrid,1,0,H
23,Almeria,Betis,2,2,D
23,Celta Vigo,Osasuna,2,0,H

22,Getafe,Mallorca,3,2,H
22,Athletic Bilbao,Almeria,2,0,H
22,Celta Vigo,Granada,2,1,H
22,Barcelona,Valladolid,2,1,H
22,Atletico Madrid,Levante,2,1,H
22,Real Sociedad,Alaves,2,0,H
22,Villarreal,Osasuna,1,0,H
22,Espanyol,Leganes,1,1,D
22,Sevilla,Real Madrid,1,1,D
22,Betis,Valencia,0,0,D

21,Betis,Villarreal,0,1,A
21,Mallorca,Levante,3,0,H
21,Barcelona,Atletico Madrid,1,0,H
21,Valencia,Athletic Bilbao,0,2,A
21,Osasuna,Granada,2,1,H
21,Celta Vigo,Espanyol,1,1,D
21,Real Madrid,Valladolid,1,1,D
21,Almeria,Real Sociedad,0,2,A
21,Leganes,Sevilla,1,2,A
21,Alaves,Getafe,0,1,A

20,Atletico Madrid,Real Madrid,3,0,H
20,Getafe,Almeria,0,1,A
20,Real Sociedad,Valencia,1,1,D
20,Levante,Alaves,2,2,D
20,Barcelona,Mallorca,0,2,A
20,Espanyol,Osasuna,3,0,H
20,Villarreal,Granada,2,0,H
20,Sevilla,Celta Vigo,2,0,H
20,Valladolid,Leganes,2,0,H
20,Athletic Bilbao,Betis,1,0,H

19,Athletic Bilbao,Betis,1,0,H
19,Betis,Real Sociedad,4,1,H
19,Osasuna,Sevilla,2,1,H
19,Granada,Espanyol,0,0,D
19,Almeria,Levante,2,1,H
19,Athletic Bilbao,Villarreal,0,1,A
19,Alaves,Barcelona,1,2,A
19,Celta Vigo,Valladolid,2,1,H
19,Real Madrid,Mallorca,4,2,H
19,Valencia,Getafe,1,1,D
19,Leganes,Atletico Madrid,1,3,A

18,Atletico Madrid,Celta Vigo,4,2,H
18,Sevilla,Granada,1,0,H
18,Real Madrid,Alaves,2,2,D
18,Getafe,Betis,1,1,D
18,Valladolid,Osasuna,2,0,H
18,Barcelona,Almeria,1,0,H
18,Real Sociedad,Athletic Bilbao,0,1,A
18,Villarreal,Espanyol,2,2,D
18,Levante,Valencia,1,1,D
18,Mallorca,Leganes,0,1,A

17,Almeria,Real Madrid,2,2,D
17,Leganes,Alaves,2,3,A
17,Valencia,Barcelona,1,1,D
17,Celta Vigo,Mallorca,1,0,H
17,Espanyol,Sevilla,0,1,A
17,Granada,Valladolid,2,0,H
17,Athletic Bilbao,Getafe,2,1,H
17,Osasuna,Atletico Madrid,1,1,D
17,Real Sociedad,Villarreal,2,1,H
17,Betis,Levante,2,1,H

16,Barcelona,Betis,4,1,H
16,Real Madrid,Valencia,1,0,H
16,Villarreal,Sevilla,0,1,A
16,Atletico Madrid,Granada,3,0,H
16,Alaves,Celta Vigo,0,1,A
16,Levante,Athletic Bilbao,1,4,A
16,Valladolid,Espanyol,0,1,A
16,Getafe,Real Sociedad,0,1,A
16,Mallorca,Osasuna,1,2,A
16,Leganes,Almeria,0,1,A

15,Sevilla,Valladolid,0,0,D
15,Valencia,Leganes,1,0,H
15,Getafe,Villarreal,0,1,A
15,Betis,Real Madrid,1,1,D
15,Espanyol,Atletico Madrid,1,3,A
15,Granada,Mallorca,0,2,A
15,Osasuna,Alaves,0,5,A
15,Real Sociedad,Levante,1,0,H
15,Celta Vigo,Almeria,0,1,A
15,Athletic Bilbao,Barcelona,0,3,A

14,Celta Vigo,Valencia,2,0,H
14,Barcelona,Real Sociedad,2,1,H
14,Leganes,Betis,0,0,D
14,Atletico Madrid,Sevilla,1,1,D
14,Villarreal,Valladolid,0,0,D
14,Levante,Getafe,0,2,A
14,Real Madrid,Athletic Bilbao,4,0,H
14,Almeria,Osasuna,2,1,H
14,Alaves,Granada,2,1,H
14,Mallorca,Espanyol,2,2,D

13,Sevilla,Mallorca,2,2,D
13,Valladolid,Atletico Madrid,0,1,A
13,Betis,Celta Vigo,2,2,D
13,Osasuna,Valencia,1,2,A
13,Real Sociedad,Real Madrid,2,1,H
13,Espanyol,Alaves,2,2,D
13,Getafe,Barcelona,1,3,A
13,Athletic Bilbao,Leganes,2,2,D
13,Granada,Almeria,3,3,D
13,Levante,Villarreal,1,1,D

12,Villarreal,Atletico Madrid,3,0,H
12,Mallorca,Valladolid,1,2,A
12,Leganes,Real Sociedad,0,0,D
12,Valencia,Granada,1,0,H
12,Barcelona,Levante,4,1,H
12,Alaves,Sevilla,0,2,A
12,Celta Vigo,Athletic Bilbao,0,2,A
12,Osasuna,Betis,1,0,H
12,Real Madrid,Getafe,2,1,H
12,Almeria,Espanyol,1,1,D

11,Barcelona,Villarreal,0,0,D
11,Sevilla,Almeria,2,1,H
11,Espanyol,Valencia,1,0,H
11,Real Sociedad,Celta Vigo,1,4,A
11,Granada,Betis,2,3,A
11,Athletic Bilbao,Osasuna,3,1,H
11,Getafe,Leganes,3,1,H
11,Valladolid,Alaves,1,0,H
11,Levante,Real Madrid,0,1,A
11,Atletico Madrid,Mallorca,0,0,D

10,Valencia,Sevilla,0,0,D
10,Betis,Espanyol,1,1,D
10,Real Madrid,Barcelona,1,2,A
10,Osasuna,Real Sociedad,2,4,A
10,Granada,Athletic Bilbao,2,0,H
10,Alaves,Atletico Madrid,1,1,D
10,Celta Vigo,Getafe,1,3,A
10,Leganes,Levante,1,1,D
10,Almeria,Valladolid,1,0,H
10,Villarreal,Mallorca,1,0,H

9,Atletico Madrid,Almeria,2,1,H
9,Real Sociedad,Granada,0,1,A
9,Sevilla,Betis,2,1,H
9,Levante,Celta Vigo,0,0,D
9,Valladolid,Valencia,0,1,A
9,Barcelona,Leganes,2,2,D
9,Espanyol,Athletic Bilbao,0,2,A
9,Getafe,Osasuna,1,2,A
9,Mallorca,Alaves,0,0,D
9,Real Madrid,Villarreal,1,2,A

8,Betis,Valladolid,3,3,D
8,Granada,Getafe,0,3,A
8,Leganes,Real Madrid,2,1,H
8,Valencia,Atletico Madrid,1,4,A
8,Athletic Bilbao,Sevilla,0,0,D
8,Osasuna,Levante,2,2,D
8,Villarreal,Alaves,0,0,D
8,Almeria,Mallorca,3,1,H
8,Celta Vigo,Barcelona,1,3,A
8,Espanyol,Real Sociedad,4,0,H

7,Mallorca,Valencia,1,2,A
7,Valladolid,Athletic Bilbao,1,2,A
7,Sevilla,Real Sociedad,0,0,D
7,Real Madrid,Celta Vigo,3,2,H
7,Levante,Granada,3,0,H
7,Atletico Madrid,Getafe,3,3,D
7,Barcelona,Espanyol,0,0,D
7,Osasuna,Alaves,0,2,A
7,Leganes,Villarreal,1,0,H
7,Athletic Bilbao,Almeria,0,0,D

6,Sevilla,Getafe,3,1,H
6,Villarreal,Almeria,2,2,D
6,Athletic Bilbao,Atletico Madrid,0,2,A
6,Betis,Mallorca,3,1,H
6,Celta Vigo,Leganes,2,0,H
6,Real Sociedad,Valladolid,2,1,H
6,Valencia,Alaves,1,4,A
6,Granada,Barcelona,1,2,A
6,Espanyol,Levante,0,3,A
6,Osasuna,Real Madrid,1,0,H

5,Barcelona,Espanyol,1,0,H
5,Almeria,Valencia,1,1,D
5,Mallorca,Athletic Bilbao,2,1,H
5,Valladolid,Getafe,1,2,A
5,Celta Vigo,Villarreal,1,1,D
5,Levante,Sevilla,3,2,H
5,Real Madrid,Granada,4,2,H
5,Alaves,Betis,0,1,A
5,Leganes,Osasuna,2,1,H
5,Atletico Madrid,Real Sociedad,3,0,H

4,Athletic Bilbao,Alaves,1,1,D
4,Getafe,Atletico Madrid,2,4,A
4,Espanyol,Real Madrid,1,5,A
4,Sevilla,Barcelona,1,1,D
4,Betis,Almeria,1,1,D
4,Villarreal,Valencia,1,1,D
4,Granada,Valladolid,0,0,D
4,Levante,Osasuna,2,0,H
4,Real Sociedad,Celta Vigo,1,2,A
4,Mallorca,Leganes,0,2,A

3,Celta Vigo,Granada,2,3,A
3,Almeria,Athletic Bilbao,0,2,A
3,Barcelona,Valladolid,4,1,H
3,Atletico Madrid,Real Madrid,0,1,A
3,Levante,Valencia,0,1,A
3,Betis,Leganes,1,1,D
3,Espanyol,Mallorca,0,2,A
3,Getafe,Alaves,1,0,H
3,Osasuna,Villarreal,0,0,D
3,Real Sociedad,Sevilla,0,2,A

2,Levante,Mallorca,0,1,A
2,Valladolid,Real Madrid,2,3,A
2,Real Sociedad,Almeria,1,0,H
2,Getafe,Alaves,1,3,A
2,Sevilla,Leganes,1,1,D
2,Granada,Osasuna,0,4,A
2,Athletic Bilbao,Valencia,0,1,A
2,Villarreal,Betis,0,0,D
2,Atletico Madrid,Barcelona,0,0,D
2,Espanyol,Celta Vigo,0,0,D

1,Almeria,Getafe,2,2,D
1,Real Madrid,Atletico Madrid,0,4,A
1,Mallorca,Barcelona,1,2,A
1,Valencia,Real Sociedad,3,2,H
1,Celta Vigo,Sevilla,3,1,H
1,Alaves,Levante,1,1,D
1,Granada,Villarreal,3,2,H
1,Leganes,Valladolid,1,0,H
1,Osasuna,Espanyol,2,4,A
1,Betis,Athletic Bilbao,0,1,A
